shopId,shopName,shopGlat,shopGlng,shopPower,shopType,mainCategoryName,categoryURLName,shopGroupId,categoryName,price,comNum
12597276,渔家客栈餐厅,30.7333,121.37551,35,10,本帮江浙菜,food,12597276,美食,-,34
12597721,樱束の屋女仆咖啡厅,31.301224,121.492156,35,10,咖啡厅,food,12597721,美食,61,88
12597739,CocoParty咖啡餐吧,31.231448,121.411612,40,10,西餐,food,12597739,美食,60,2604
12597743,辻利TSUJIRI,31.23263,121.41274,40,10,冰淇淋,food,12597743,美食,35,5581
12598454,传辣,31.19457614730486,121.46012580206033,40,10,小吃,food,12598454,美食,65,1187
12598910,澳帝焙咖啡屋,31.117573,121.260434,35,10,咖啡厅,food,12598910,美食,32,79
12600960,恋暖初茶,31.23626,121.50241,40,10,饮品,food,8864233,美食,17,791
12600988,居家桥辣肉面,31.2584774999889,121.560802999842,35,10,小吃快餐,food,12600988,美食,17,15
12764583,清真小吃,31.156116,121.572388,35,10,新疆菜,food,12764583,美食,-,2
13535759,川香园麻辣香锅,31.19549,121.68995,35,10,香锅,food,13535759,美食,57,143
13603194,沙县小吃,31.218456,121.3645,35,10,小吃快餐,food,13603194,美食,11,12
13603321,仟真快餐,31.274458,121.51726,20,10,快餐简餐,food,13603321,美食,49,156
13657829,火辰炭火烤肉,31.105085,121.401576,35,10,韩国料理,food,13657829,美食,74,108
13657863,老吉士酒家,31.216236,121.458452,40,10,本帮菜,food,500702,美食,196,2563
13658013,PizzaMarzano玛尚诺,31.22733,121.52486,40,10,比萨,food,1918489,美食,123,3288
13659994,缘香阁台湾饭团,31.21805,121.41868,35,10,小吃,food,6840924,美食,9,44
13660543,CoCo都可茶饮,30.914835,121.476168,35,10,饮品,food,2444533,美食,-,8
13660663,美罗思比萨,31.222875,121.529946,35,10,比萨,food,500436,美食,65,119
13661257,食之秘,31.24055,121.3243,40,10,饮品,food,2050756,美食,40,732
13663272,PizzaMarzano玛尚诺,31.203791,121.281985,50,10,比萨,food,1918489,美食,121,527
13663463,一品红川菜,31.324906,121.539929,35,10,川菜/家常菜,food,13663463,美食,71,22
13664196,东北人家,31.150555,121.523767,35,10,东北菜,food,13664196,美食,47,51
13664426,美食家,31.1092662811279,121.386383056641,35,10,淮扬菜,food,13664426,美食,-,2
13665197,小杨生煎,31.27102,121.47824,40,10,生煎,food,500636,美食,21,2423
13665394,いば昇《昇鰻魚家》,31.219266,121.418595,40,10,日本料理,food,2696437,美食,188,1792
13665500,特供藕饼,31.25559,121.42699,35,10,小吃,food,13665500,美食,10,12
13665903,千代保怀石料理,31.216141,121.454805,50,10,日本料理,food,13665903,美食,870,387
13666290,川乐小镇,31.25225,121.48395,35,10,香锅,food,69037001,美食,67,1914
13666414,山东水饺,31.260655,121.502076,35,10,饺子,food,13666414,美食,-,11
13667040,一風堂拉面,31.22426,121.45031,40,10,寿司/简餐,food,6311018,美食,73,2184
13667062,COSTA COFFEE,31.301513,121.515529,35,10,咖啡厅,food,2032123,美食,36,336
13667254,大宁路鸡蛋饼,31.276079,121.453832,35,10,快餐简餐,food,13667254,美食,4,27
13667752,老颖川正宗麻辣烫,31.090209,121.436814,35,10,麻辣烫,food,13667752,美食,14,17
13668469,汉堡王,31.20395,121.28259,35,10,快餐简餐,food,506444,美食,29,648
13668811,一品龙虾,31.042107,121.211031,35,10,川菜/家常菜,food,13668811,美食,29,8
13668838,快乐柠檬,31.04947,121.20368,35,10,饮品,food,1917097,美食,10,44
13669983,周黑鸭,31.270673,121.476925,45,10,熟食,food,5302837,美食,54,1979
13679976,明记沈家门小海鲜卫清西路店,30.72949597,121.3450899,35,10,海鲜,food,13679976,美食,81,137
13681692,麦香食品,31.042506,121.408979,35,10,面包甜点,food,5416096,美食,15,12
13694017,烈火奶酪蛋糕,31.395512,121.454383,35,10,西式甜点,food,5631497,美食,13,0
13703476,台湾卤肉饭,31.28231,121.48514,35,10,快餐简餐,food,13703476,美食,20,53
13703661,金太阳酒楼,31.14474,121.135838,35,10,本帮江浙菜,food,13703661,美食,89,154
13703725,Pain Chaud,31.210951,121.458581,40,10,面包甜点,food,57997026,美食,54,1287
13704271,瓦罐汤,31.24667,121.44079,35,10,快餐简餐,food,13704271,美食,20,10
13704375,西北王美食,31.406266,121.47705,35,10,快餐简餐,food,13704375,美食,20,10
13704502,丸龟制面,31.17369,121.49499,40,10,寿司/简餐,food,5567930,美食,37,1601
13705605,麦好面,31.240264,121.521616,35,10,快餐简餐,food,13705605,美食,21,99
13706147,洞二巴巴蜀火锅,31.148038,121.303564,45,10,重庆火锅,food,13706147,美食,113,1897
13707452,湘满天下,31.245243,121.411893,35,10,湘菜,food,13707452,美食,67,38
13708156,正斗粥面专家,31.215471,121.458248,35,10,粤菜馆,food,4092751,美食,81,1958
13708570,阳澄湖大闸蟹,31.26376,121.504187,35,10,蟹宴,food,13708570,美食,-,1
13708643,古宫炭,31.23654,121.437328,45,10,韩国料理,food,13708643,119,2761
13708987,面店,31.20911,121.50295,35,10,快餐简餐,food,13708987,美食,-,7
13712715,沪旺客,31.23989,121.44324,35,10,快餐简餐,food,13712715,美食,18,15
13712893,金钱豹,31.228219,121.518367,30,10,自助餐,food,502333,美食,201,6220
13713162,清真私房牛肉面,31.402138,121.482539,35,10,小吃快餐,food,13713162,美食,14,10
13713281,树袋熊咖啡厅,31.200056,121.429149,30,10,咖啡厅,food,13713281,美食,-,6
13713441,淼鑫猪肚鸡,31.33612,121.585678,40,10,粤菜馆,food,13713441,美食,61,556
13714205,黑森林,31.205782,121.47793,35,10,西式甜点,food,507094,美食,36,130
13714674,米禾谷煲仔饭专家,31.156257,121.228298,30,10,快餐简餐,food,13714674,美食,31,59
13715160,阳澄湖大闸蟹,31.3461,121.48106,35,10,蟹宴,food,13715160,美食,-,2
13718140,小谢龙虾,31.25398,121.4588,35,10,海鲜,food,13718140,美食,97,24
13718964,秦韵风,30.94231,121.46033,35,10,快餐简餐,food,13718964,美食,17,26
13718998,百年面道,31.251706,121.600628,35,10,小吃快餐,food,6628558,美食,15,13
13719402,曹琳米线,31.148888,121.19402,30,10,米粉,food,13719402,美食,17,14
13721415,田园食味,31.296227,121.533154,35,10,农家菜,food,13721415,美食,58,435
13722638,辉哥海鲜火锅,31.2095006,121.4500469,45,10,火锅,food,505849,美食,927,316
13723427,紫燕百味鸡,31.332276,121.447849,35,10,熟食,food,507071,美食,31,32
13724395,绿地九龙宾馆中餐厅,31.25397,121.492026,30,10,本帮江浙菜,food,13724395,美食,218,33
13724974,江南小厨,31.26790057,121.4815597,35,10,本帮菜,food,5252504,美食,57,21
13725215,淮南大通牛肉汤,31.1078,121.385233,35,10,小吃,food,13725215,美食,11,17
13725239,快乐柠檬,31.281446,121.50789,30,10,饮品,food,1917097,美食,12,118
13725509,King Albert,31.214218,121.460449,45,10,咖啡厅,food,13725509,美食,80,383
13725773,阳澄湖大闸蟹,31.270672,121.453956,35,10,海鲜,food,13725773,美食,-,3
13725778,阳澄湖大闸蟹,31.28719,121.47346,40,10,蟹宴,food,13715095,美食,-,0
13726262,糖纸甜品,31.185261,121.442565,35,10,港台甜品,food,9186103,美食,26,2098
13727732,来自贸易,31.3403000000099,121.497299999995,35,10,川菜/家常菜,food,13727732,美食,-,1
